Lesson Code: 00 , Lesson Name: Glwssiki Didaskalia           , Class: A , Hours Per Week: 3 ,
Lesson Code: 01 , Lesson Name: Glwssiki Didaskalia           , Class: B , Hours Per Week: 2 ,
Lesson Code: 02 , Lesson Name: Glwssiki Didaskalia           , Class: C , Hours Per Week: 2 ,
Lesson Code: 03 , Lesson Name: Neoelliniki Logotexnia        , Class: A , Hours Per Week: 2 ,
Lesson Code: 04 , Lesson Name: Neoelliniki Logotexnia        , Class: B , Hours Per Week: 2 ,
Lesson Code: 05 , Lesson Name: Neoelliniki Logotexnia        , Class: C , Hours Per Week: 2 ,
Lesson Code: 06 , Lesson Name: Arxaia Elliniki Glwssa        , Class: A , Hours Per Week: 2 ,
Lesson Code: 07 , Lesson Name: Arxaia Elliniki Glwssa        , Class: B , Hours Per Week: 2 ,
Lesson Code: 08 , Lesson Name: Arxaia Elliniki Glwssa        , Class: C , Hours Per Week: 2 ,
Lesson Code: 09 , Lesson Name: Arxaia Ellinika Keimena       , Class: A , Hours Per Week: 2 ,
Lesson Code: 10 , Lesson Name: Arxaia Ellinika Keimena       , Class: B , Hours Per Week: 2 ,
Lesson Code: 11 , Lesson Name: Arxaia Ellinika Keimena       , Class: C , Hours Per Week: 2 ,
Lesson Code: 12 , Lesson Name: Mathimatika                   , Class: A , Hours Per Week: 4 ,
Lesson Code: 13 , Lesson Name: Mathimatika                   , Class: B , Hours Per Week: 4 ,
Lesson Code: 14 , Lesson Name: Mathimatika                   , Class: C , Hours Per Week: 4 ,
Lesson Code: 15 , Lesson Name: Fisiki                        , Class: A , Hours Per Week: 1 ,
Lesson Code: 16 , Lesson Name: Fisiki                        , Class: B , Hours Per Week: 2 ,
Lesson Code: 17 , Lesson Name: Fisiki                        , Class: C , Hours Per Week: 2 ,
Lesson Code: 18 , Lesson Name: Ximeia                        , Class: B , Hours Per Week: 1 ,
Lesson Code: 19 , Lesson Name: Ximeia                        , Class: C , Hours Per Week: 1 ,
Lesson Code: 20 , Lesson Name: Viologia                      , Class: A , Hours Per Week: 1 ,
Lesson Code: 21 , Lesson Name: Viologia                      , Class: B , Hours Per Week: 1 ,
Lesson Code: 22 , Lesson Name: Viologia                      , Class: C , Hours Per Week: 1 ,
Lesson Code: 23 , Lesson Name: Gewgrafia                     , Class: A , Hours Per Week: 1 ,
Lesson Code: 24 , Lesson Name: Gewgrafia                     , Class: B , Hours Per Week: 2 ,
Lesson Code: 25 , Lesson Name: Oikiaki Oikonomia             , Class: A , Hours Per Week: 2 ,
Lesson Code: 26 , Lesson Name: Istoria                       , Class: A , Hours Per Week: 2 ,
Lesson Code: 27 , Lesson Name: Istoria                       , Class: B , Hours Per Week: 2 ,
Lesson Code: 28 , Lesson Name: Istoria                       , Class: C , Hours Per Week: 2 ,
Lesson Code: 29 , Lesson Name: Koinoniki kai Politiki Agwgi  , Class: C , Hours Per Week: 2 ,
Lesson Code: 30 , Lesson Name: Thriskeutika                  , Class: A , Hours Per Week: 2 ,
Lesson Code: 31 , Lesson Name: Thriskeutika                  , Class: B , Hours Per Week: 2 ,
Lesson Code: 32 , Lesson Name: Thriskeutika                  , Class: C , Hours Per Week: 2 ,
Lesson Code: 33 , Lesson Name: Agglika                       , Class: A , Hours Per Week: 2 ,
Lesson Code: 34 , Lesson Name: Agglika                       , Class: B , Hours Per Week: 2 ,
Lesson Code: 35 , Lesson Name: Agglika                       , Class: C , Hours Per Week: 2 ,
Lesson Code: 36 , Lesson Name: Gallika                       , Class: A , Hours Per Week: 2 ,
Lesson Code: 37 , Lesson Name: Gallika                       , Class: B , Hours Per Week: 2 ,
Lesson Code: 38 , Lesson Name: Gallika                       , Class: C , Hours Per Week: 2 ,
Lesson Code: 39 , Lesson Name: Fisiki Agwgi                  , Class: A , Hours Per Week: 2 ,
Lesson Code: 40 , Lesson Name: Fisiki Agwgi                  , Class: B , Hours Per Week: 2 ,
Lesson Code: 41 , Lesson Name: Fisiki Agwgi                  , Class: C , Hours Per Week: 2 ,
Lesson Code: 42 , Lesson Name: Texnologia                    , Class: A , Hours Per Week: 1 ,
Lesson Code: 43 , Lesson Name: Texnologia                    , Class: B , Hours Per Week: 1 ,
Lesson Code: 44 , Lesson Name: Texnologia                    , Class: C , Hours Per Week: 1 ,
Lesson Code: 45 , Lesson Name: Pliroforiki                   , Class: A , Hours Per Week: 1 ,
Lesson Code: 46 , Lesson Name: Pliroforiki                   , Class: B , Hours Per Week: 1 ,
Lesson Code: 47 , Lesson Name: Pliroforiki                   , Class: C , Hours Per Week: 1 ,
Lesson Code: 48 , Lesson Name: Mousiki                       , Class: A , Hours Per Week: 1 ,
Lesson Code: 49 , Lesson Name: Mousiki                       , Class: B , Hours Per Week: 1 ,
Lesson Code: 50 , Lesson Name: Mousiki                       , Class: C , Hours Per Week: 1 ,
Lesson Code: 51 , Lesson Name: Kallitexnika                  , Class: A , Hours Per Week: 1 ,
Lesson Code: 52 , Lesson Name: Kalitexnika                  , Class: B , Hours Per Week: 1 ,
Lesson Code: 53 , Lesson Name: Kallitexnika                  , Class: C , Hours Per Week: 1 ,
